Provincia,Accesos por cada 100 hogares,Total de viviendas particulares,Total de población,Viviendas con internet,Viviendas sin internet,% viviendas sin internet
Buenos Aires,0.6397944444444446,6695273,17569053,4283598.46943889,2411674.53056111,0.3602055555555554
Capital Federal,1.1363916666666667,1638764,3120612,1862277.7532333334,-223513.75323333335,-0.1363916666666667
Catamarca,0.36737499999999995,158989,429556,58408.58387499999,100580.41612500002,0.6326250000000001
Chaco,0.3347277777777778,401658,1142963,134446.08976666667,267211.91023333336,0.6652722222222223
Chubut,0.5311444444444444,236010,603120,125355.40033333332,110654.59966666668,0.4688555555555556
Corrientes,0.3559777777777778,406480,1197553,144697.8471111111,261782.1528888889,0.6440222222222223
Córdoba,0.6698611111111111,1630356,3978984,1092112.0816666668,538243.9183333332,0.3301388888888888
Entre Ríos,0.5116444444444445,559398,1426426,286212.8789333333,273185.1210666667,0.48835555555555554
Formosa,0.2658138888888889,212941,606041,56602.67531388889,156338.32468611113,0.7341861111111112
Jujuy,0.35919999999999996,276222,797955,99218.94239999999,177003.0576,0.6408
La Pampa,0.7127722222222223,163805,366022,116755.65386111112,47049.34613888888,0.28722777777777775
La Rioja,0.4256444444444444,149910,384607,63808.35866666666,86101.64133333333,0.5743555555555555
Mendoza,0.37265,708354,2014533,263968.11809999996,444385.88190000004,0.6273500000000001
Misiones,0.35512222222222223,466850,1280960,165788.80944444446,301061.1905555555,0.6448777777777777
Neuquén,0.623738888888889,273685,726590,170707.97780555557,102977.02219444443,0.3762611111111111
Río Negro,0.535675,295502,762067,158293.03385,137208.96615,0.464325
Salta,0.4188666666666667,478433,1440672,200399.63593333337,278033.36406666663,0.5811333333333333
San Juan,0.33618333333333333,265047,818234,89104.38395,175942.61605,0.6638166666666667
San Luis,0.4433972222222222,201271,540905,89243.0023138889,112027.9976861111,0.5566027777777778
Santa Cruz,0.32937777777777777,131395,333473,43278.59311111111,88116.40688888889,0.6706222222222222
Santa Fe,0.6283666666666666,1458652,3556522,916568.2950666666,542083.7049333334,0.3716333333333334
Santiago Del Estero,0.32591944444444443,348705,1054028,113649.739875,235055.260125,0.6740805555555556
Tierra Del Fuego,0.7879861111111112,67091,190641,52866.77618055556,14224.223819444444,0.21201388888888886
Tucumán,0.4412416666666667,555419,1703186,245074.00525833335,310344.99474166665,0.5587583333333334
